Review,Rating,gensim,kmeans_tfidf
"best care your family pet will get. the whole staff is amazing. will 100% recommend your quality and friendly service. thank you for the great care you gave to my bunny ""nieve"".",5,4.598641984686944,5
"a very nice, clean place. employées very polite and cordial.
very welcoming",5,4.5952890927897805,5
"(translated by google) this is the second time i go to this vet..every time it's really expensive for nothing. i go for my rats that have scabs and itches and a lump on the back of my spleen, $ 300 to tell me that we do not really know …",1,4.167557571435887,5
"thanks so much, receptionist was very pleasant to speak with and helpful!",5,4.4958453501388576,5
"(translated by google) she took the time to call me to explain to me calmly

(original)
elle a pris le temps de m'appeler pour m'expliquer calmement",4,4.303920444612733,5
"nice clinc, very clean ,vet seemed to be very nice,and  she took her time with me. answered all my questions..and the price was much more reasonable, then other places we've been to..they did mixed up our bill,  my hubby didn't even catch …",5,4.253539149584555,5
"(translated by google) staff always welcoming and very human who take the time to explain what is needed and help make the right decisions according to the well-being of the animal, without trying to charge unnecessarily for care like the …",5,4.2987122996702745,5
"very happy with the care my little rats have gotten, especially following their surgery! :)",5,4.341201444213734,5
"(translated by google) mon amazone has been a client of this clinic for 20 years
he needs a regular beak pruning for a small problem that we have known for several years
he is in good health
prices increase with each visit
now they are …",1,4.27891547605711,5
"(translated by google) i opened my bunny's case there and the staff are friendly, warm and have a remarkable human conscience! my bunny felt very comfortable in their arms and he was treated very well :) i highly recommend this place ❤️ …",5,4.539359343008124,5
"they are a very friendly clinic and i trust them with all my small animal needs. i have a cute siamese dumbo cross rat and she was spayed there just last month.

they are covid friendly and ask that one person attend appointments. they do …",5,4.305834918047715,5
"(translated by google) warm welcome!

(original)
accueille chaleureuse !",5,4.507408623962912,5
i really like the owner his name is doctor brieger hes very caring,5,4.547387449022675,5
"(translated by google) great service. on the other hand, the emergency price for a bird is really expensive.

(original)
super service. par contre, le prix en urgence pour un oiseau est vraiment cher.",5,4.540738527750822,5
(translated by google) my clinic par excellence for my rats! all the employees are super attentive and have patience to answer all my questions. the vets are very warm and know how to put the animals at ease. i felt very well supervised. …,5,4.502283625801939,5
"(translated by google) very good

(original)
très bien",5,4.727813205238398,5
honestly everyone is super nice here and they helped me a lot with my budgie.,5,4.440104566543136,5
"dr brieger prescribed for my pet a very expensive med that he gets for and charge super expensive and knows this is sold in pharmacy for cheap , 4 times less and never told me , cares for the profit of his clinic way more than for the pet  , client ....",1,4.292984672748325,5
"(translated by google) my parakeet was in bad shape and is healed. what more can be said.

(original)
ma perruche était mal en point et elle est guérie.  que dire de plus.",5,4.5009465496557555,5
"they are a very friendly, and well trained staff. my experience with them was very satisfying! i highly recommend them to anyone looking for an exotic pet veterinarian.",5,4.495970862173742,5
"(translated by google) a lot of bird knowledge and a sincere opinion on bird ownership.

(original)
beaucou de connaissances des oiseaux et une opinion sincère sur la possession d'oiseaux.",4,4.664097763193235,5
amazing service! we're very happy !,5,4.70204513033344,5
finally a vet that know how to deal with rats and small animals really great service,5,4.332953154206922,5
went there with a budgie. great staff. friendly reception. doctor was to the point. would definately recommend,5,4.333219632747427,5
"best place to bring your exotic critters. they are super friendly, knowledgeable. i brought my guinea pig to be fixed and she has healed quickly and without any problems. i definitely recommend them 😊",5,4.25769496892198,5
"i called ahead of time to make an appointment and was told i would have to pay 18$ only for what i wanted to do. i had a good experience until i had to pay, which is when they told me there was a mandatory exam that costs 80$ for new …",1,4.083610008325464,5
love all the employees.thank you!,5,4.475283154976677,5
really nice and professional staff. they call to confirm your appointment two days prior and the vet handled my rabbit very professionally. one of their clients tested positive and they made the effort to test all staffs and closed down for two weeks in the self-quarantine time. highly recommend!,5,4.303592920005647,5
very happy with the service. i have been bringing my pets here for a few years and always received excellent service. the staff are very friendly and sympathetic.,5,4.627445473619395,5
excellent service! love the staff :),5,4.908850988044235,5
"wonderful, caring staff, and nice facilities. they will keep your pets there for you when you're on vacation as well.",5,4.4838598430369885,5
they do really care about animals and working with you for a solution that is reasonable for you as a pet owner.,5,4.3551953681891105,5
"(translated by google) doctor brieger is an excellent veterinarian. very human, gentle, understanding and attentive and he does everything in his power to help your animals! thank you very much for the excellent service, triolet thanks you …",5,4.67781108080214,5
not good service they dont do anything they charge for nothing i not recomand them at all sty farrrrrrrrr,1,4.114207015148598,5
"(translated by google) my message will surely be different from other goods because i did not use the clinic's services. however, i spoke with the receptionist called elisa or something similar. i forwarded my message to the lady herself …",5,4.282474320850818,5
"(translated by google) i never write reviews on social media, but i have to admit that this clinic deserves one.

obviously, you always have to plan a good budget when you go to the vet. i have to admit i expected a higher bill for all the …",5,4.212011322984922,5
"(translated by google) i didn't visit the place, but they helped me on the phone and were very nice

(original)
je n'ai pas visité les lieux, mais ils m'ont aidé au téléphone et étaient très gentils",5,4.480845572122597,5
"(translated by google) listening, reassuring. this is all we need when we are worried about our beloved animal

(original)
a l'écoute, rassurants. c'est tour ce qu'il nous faut quand on s'inquiète pour notre animal qu'on aime",5,4.61377436710131,5
"(translated by google) very kind. very professional.

(original)
très gentils. très professionnels.",5,4.8444960498489245,5
"great service, dr maude trudeau takes great care of my pet rats. 🐀",5,4.654953108304381,5
"(translated by google) i am always anxious at the idea of ​​finding a veterinary clinic for my animals, among other things because i care that they are well treated, but also that they explain to me the information about their state of …",5,4.334060307555882,5
"if you are the proud owner of a mischief of rats, this really is the best veterinary hospital you could hope for. very conveniently located too, and not a long walk from vendôme metro if that is a concern.

the reception staff are some of …",5,4.358869183680114,5
my hammy had a good experience of the ear mass removal surgery. everyone is very nice! thank you to all the staff who took good care of my baby.,5,4.432525219789074,5
great service.  spoke english.  caring.  good prices.,5,4.778417578834108,5
they always take great care of my guinea pigs!,5,4.357583521716297,5
"(translated by google) dr brieger is the best

(original)
dr brieger est le meilleur",5,4.665960408975732,5
"(translated by google) extremely kind and understanding vet. good approach. recommended

(original)
vétérinaire extrêmement gentil et compréhensive. bonne approche. recommande",5,4.866276953496941,5
"(translated by google) super nice employees!
we are very well served and we feel that the veterinarians know their business well. the costs are also affordable.
i highly recommend for anyone with exotic pets.

(original)
employés super …",5,4.546350064233566,5
"i have taken my parrot for regular control and after advises of the vet he finally got weight. they also have very affordable boarding for bird where they take a really good care of your bird.
i have had also an emergency, my parrot started …",5,4.287101153470517,5
"(translated by google) thank you for taking care of my little bird🐦.

(original)
merci de prendre soin de mon petit oiseau🐦.",4,4.659051147560774,5
"(translated by google) great welcome, soothing and reassuring place for our little loves. veterinarians and technicians are professional and friendly. we are very well taken care of and no unwelcome rush. a pleasure too, to have a …",5,4.598953881420659,5
very welcoming staff,4,4.665688930783548,5
"(translated by google) very good experience!

(original)
très bonne expérience!",5,4.887792203803169,5
"(translated by google) hello, i had a very nice experience with this clinic. i brought my little rabbit because he was almost no longer eating, and now he's better! all the staff (doctor, secretaries, technicians ...) are very competent, …",5,4.492486142804444,5
